               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.027243,            0.026343,          0.00038037,             0.91083,             0.85082,             0.88492,             0.40411,            0.042999,            0.039325,           0.0023978,            0.001882,            0.001882,            0.001882
                  84,            0.026827,             0.02567,          0.00037951,             0.92421,             0.85432,             0.88679,             0.40553,            0.042942,            0.039399,           0.0025344,            0.001783,            0.001783,            0.001783
                  85,            0.026807,            0.025912,          0.00037383,             0.92308,             0.84801,             0.88409,             0.40403,             0.04306,            0.039668,           0.0025758,            0.001684,            0.001684,            0.001684
                  86,            0.026861,            0.026016,           0.0004171,             0.92595,             0.85173,             0.88742,             0.40563,            0.043023,            0.039446,           0.0024958,            0.001585,            0.001585,            0.001585
                  87,            0.026703,            0.026172,          0.00036326,               0.927,               0.844,             0.88745,             0.40673,            0.043047,            0.039632,           0.0024879,            0.001486,            0.001486,            0.001486
                  88,            0.026338,             0.02528,          0.00033763,             0.92896,             0.84076,             0.88853,             0.40561,            0.043112,            0.039723,            0.002584,            0.001387,            0.001387,            0.001387
                  89,            0.026241,            0.025198,          0.00031978,             0.92537,             0.84638,             0.88845,             0.40729,            0.043038,            0.039533,           0.0027959,            0.001288,            0.001288,            0.001288
                  90,            0.026595,            0.025193,          0.00036857,             0.92656,             0.84327,             0.88436,             0.40544,            0.043156,            0.039701,           0.0027697,            0.001189,            0.001189,            0.001189
                  91,            0.026076,            0.025441,          0.00031696,             0.92243,             0.84645,             0.88625,              0.4064,            0.043221,             0.03999,           0.0026878,             0.00109,             0.00109,             0.00109
                  92,            0.026063,            0.025584,          0.00030577,             0.91373,             0.84582,             0.88437,             0.40694,            0.043168,            0.040049,           0.0026507,            0.000991,            0.000991,            0.000991
                  93,            0.026148,            0.025468,          0.00032274,             0.91785,             0.85127,             0.88662,             0.40668,            0.043272,            0.040574,           0.0026485,            0.000892,            0.000892,            0.000892
                  94,            0.026418,            0.025311,          0.00032311,             0.91757,               0.848,             0.88682,             0.40603,            0.043306,            0.040631,           0.0026757,            0.000793,            0.000793,            0.000793
                  95,            0.025904,            0.025387,          0.00033832,             0.91633,              0.8539,             0.88656,             0.40673,            0.043302,            0.040593,           0.0027149,            0.000694,            0.000694,            0.000694
                  96,            0.025363,            0.024404,          0.00032023,             0.91999,             0.85103,             0.88899,             0.40714,            0.043215,            0.040747,           0.0026312,            0.000595,            0.000595,            0.000595
                  97,            0.025657,             0.02514,          0.00028876,             0.91657,              0.8453,             0.88261,             0.40679,            0.043225,            0.040859,           0.0026162,            0.000496,            0.000496,            0.000496
                  98,            0.025235,            0.024411,          0.00033404,             0.92473,             0.83926,             0.88339,             0.40666,            0.043255,            0.041095,           0.0025539,            0.000397,            0.000397,            0.000397
                  99,            0.025499,            0.024806,          0.00034972,             0.91439,             0.84744,             0.88421,             0.40599,            0.043256,            0.041227,           0.0025941,            0.000298,            0.000298,            0.000298
